airline,flight,source_city,source_country,departure_time,stops,arrival_time,destination_city,destination_country,class,price,days_left,duration,source_airport,destination_airport,scraped_at,departure_daypart,arrival_daypart,departure_day_of_week,arrival_day_of_week
Air Serbia,JU103 / JU112,Bucharest Henri Coandă International Airport,Romania,2026-06-01T16:05,1,2026-06-02T15:30,Sofia International Airport,Bulgaria,economy,168,31,2h 30m,OTP,SOF,2026-05-01T21:44:47+0300,afternoon,afternoon,monday,tuesday
Austrian,OS694 / OS775,Bucharest Henri Coandă International Airport,Romania,2026-06-01T13:15,1,2026-06-01T18:10,Sofia International Airport,Bulgaria,economy,187,31,3h 10m,OTP,SOF,2026-05-01T21:44:47+0300,afternoon,evening,monday,monday
Austrian,OS698 / OS779,Bucharest Henri Coandă International Airport,Romania,2026-06-01T18:55,1,2026-06-01T23:55,Sofia International Airport,Bulgaria,economy,204,31,3h 10m,OTP,SOF,2026-05-01T21:44:47+0300,evening,night,monday,monday
Turkish Airlines,TK1040 / TK1029,Bucharest Henri Coandă International Airport,Romania,2026-06-01T15:55,1,2026-06-01T20:15,Sofia International Airport,Bulgaria,economy,212,31,2h 50m,OTP,SOF,2026-05-01T21:44:47+0300,afternoon,evening,monday,monday
Austrian,OS700 / OS771,Bucharest Henri Coandă International Airport,Romania,2026-06-01T06:35,1,2026-06-01T11:40,Sofia International Airport,Bulgaria,economy,305,31,3h 10m,OTP,SOF,2026-05-01T21:44:47+0300,morning,morning,monday,monday
Aegean,A3653 / A3960,Leonardo da Vinci International Airport,Italy,2026-06-20T22:20,1,2026-06-21T09:05,Bucharest Henri Coandă International Airport,Romania,economy,205,50,3h 30m,FCO,OTP,2026-05-01T21:46:30+0300,night,morning,saturday,sunday
SWISS,LX1737 / LX1886,Leonardo da Vinci International Airport,Italy,2026-06-20T15:05,1,2026-06-21T01:10,Bucharest Henri Coandă International Airport,Romania,economy,246,50,4h 05m,FCO,OTP,2026-05-01T21:46:30+0300,afternoon,night,saturday,sunday
KLM,KL1602 / KL1375,Leonardo da Vinci International Airport,Italy,2026-06-20T10:35,1,2026-06-20T17:40,Bucharest Henri Coandă International Airport,Romania,economy,336,50,5h 15m,FCO,OTP,2026-05-01T21:46:30+0300,morning,evening,saturday,saturday
AJet,VF596 / VF523,Bucharest Henri Coandă International Airport,Romania,2026-06-25T19:55,1,2026-06-26T16:45,Frankfurt Airport,Germany,economy,136,55,5h 15m,OTP,FRA,2026-05-01T21:46:34+0300,evening,afternoon,thursday,friday
Lufthansa,LH1419,Bucharest Henri Coandă International Airport,Romania,2026-06-25T13:45,0,2026-06-25T15:20,Frankfurt Airport,Germany,economy,241,55,2h 35m,OTP,FRA,2026-05-01T21:46:34+0300,afternoon,afternoon,thursday,thursday
Austrian,OS700 / OS203,Bucharest Henri Coandă International Airport,Romania,2026-06-25T06:35,1,2026-06-25T09:30,Frankfurt Airport,Germany,economy,265,55,3h 10m,OTP,FRA,2026-05-01T21:46:34+0300,morning,morning,thursday,thursday
Austrian,OS696 / OS215,Bucharest Henri Coandă International Airport,Romania,2026-06-25T15:55,1,2026-06-25T18:40,Frankfurt Airport,Germany,economy,288,55,3h 10m,OTP,FRA,2026-05-01T21:46:34+0300,afternoon,evening,thursday,thursday
Air Serbia,JU107 / JU404,Bucharest Henri Coandă International Airport,Romania,2026-06-21T04:30,1,2026-06-21T19:45,Leonardo da Vinci International Airport,Italy,economy,121,51,3h 05m,OTP,FCO,2026-05-01T21:46:51+0300,night,evening,sunday,sunday
Lufthansa,LH1655 / LH1866,Bucharest Henri Coandă International Airport,Romania,2026-06-21T06:15,1,2026-06-21T10:00,Leonardo da Vinci International Airport,Italy,economy,244,51,3h 45m,OTP,FCO,2026-05-01T21:46:51+0300,morning,morning,sunday,sunday
Aegean,A3961 / A3654,Bucharest Henri Coandă International Airport,Romania,2026-06-21T09:55,1,2026-06-21T17:35,Leonardo da Vinci International Airport,Italy,economy,293,51,3h 40m,OTP,FCO,2026-05-01T21:46:51+0300,morning,evening,sunday,sunday
Austrian,OS694 / OS555,Bucharest Henri Coandă International Airport,Romania,2026-06-21T13:15,1,2026-06-21T16:55,Leonardo da Vinci International Airport,Italy,economy,413,51,3h 15m,OTP,FCO,2026-05-01T21:46:51+0300,afternoon,afternoon,sunday,sunday
LOT,LO382 / LO645,Frankfurt Airport,Germany,2026-05-25T10:40,1,2026-05-25T17:45,Bucharest Henri Coandă International Airport,Romania,economy,154,24,3h 45m,FRA,OTP,2026-05-01T21:47:35+0300,morning,evening,monday,monday
LOT,LO378 / LO639,Frankfurt Airport,Germany,2026-05-25T16:45,1,2026-05-25T23:15,Bucharest Henri Coandă International Airport,Romania,economy,154,24,3h 40m,FRA,OTP,2026-05-01T21:47:35+0300,afternoon,night,monday,monday
Lufthansa,LH124 / LH1654,Frankfurt Airport,Germany,2026-05-25T20:15,1,2026-05-26T01:10,Bucharest Henri Coandă International Airport,Romania,economy,229,24,2h 55m,FRA,OTP,2026-05-01T21:47:35+0300,evening,night,monday,tuesday
Austrian,OS210 / OS697,Frankfurt Airport,Germany,2026-05-25T13:30,1,2026-05-25T18:05,Bucharest Henri Coandă International Airport,Romania,economy,270,24,3h 00m,FRA,OTP,2026-05-01T21:47:35+0300,afternoon,evening,monday,monday
Lufthansa,LH1422,Frankfurt Airport,Germany,2026-05-25T20:20,0,2026-05-25T23:40,Bucharest Henri Coandă International Airport,Romania,economy,328,24,2h 20m,FRA,OTP,2026-05-01T21:47:35+0300,evening,night,monday,monday
Lufthansa,LH1418,Frankfurt Airport,Germany,2026-05-25T09:45,0,2026-05-25T13:05,Bucharest Henri Coandă International Airport,Romania,economy,464,24,2h 20m,FRA,OTP,2026-05-01T21:47:35+0300,morning,afternoon,monday,monday
LOT,LO644 / LO631,Bucharest Henri Coandă International Airport,Romania,2026-05-17T05:35,1,2026-05-17T14:00,Sofia International Airport,Bulgaria,economy,190,16,3h 45m,OTP,SOF,2026-05-01T21:47:38+0300,morning,afternoon,sunday,sunday
