airline,flight,source_city,source_country,departure_time,stops,arrival_time,destination_city,destination_country,class,price,days_left,duration,source_airport,destination_airport,scraped_at,departure_daypart,arrival_daypart,departure_day_of_week,arrival_day_of_week,duration_minutes,route,country_pair,is_nonstop
Air France,AF1401 / AF1088,Adolfo Suárez Madrid-Barajas Airport,Spain,2026-05-10 06:00:00,1,2026-05-10 23:25:00,Bucharest Henri Coandă International Airport,Romania,economy,239,9,5h 00m,MAD,OTP,2026-05-01 22:36:51+03:00,morning,night,sunday,sunday,300,MAD -> OTP,Spain -> Romania,False
Lufthansa,LH1121 / LH1422,Adolfo Suárez Madrid-Barajas Airport,Spain,2026-05-10 05:55:00,1,2026-05-10 23:30:00,Bucharest Henri Coandă International Airport,Romania,economy,259,9,5h 00m,MAD,OTP,2026-05-01 22:36:51+03:00,morning,night,sunday,sunday,300,MAD -> OTP,Spain -> Romania,False
KLM,KL1500 / KL1375,Adolfo Suárez Madrid-Barajas Airport,Spain,2026-05-10 06:00:00,1,2026-05-10 17:20:00,Bucharest Henri Coandă International Airport,Romania,economy,355,9,5h 10m,MAD,OTP,2026-05-01 22:36:51+03:00,morning,evening,sunday,sunday,310,MAD -> OTP,Spain -> Romania,False
Lufthansa,LH1121 / LH1416,Adolfo Suárez Madrid-Barajas Airport,Spain,2026-05-10 05:55:00,1,2026-05-10 16:30:00,Bucharest Henri Coandă International Airport,Romania,economy,362,9,5h 00m,MAD,OTP,2026-05-01 22:36:51+03:00,morning,afternoon,sunday,sunday,300,MAD -> OTP,Spain -> Romania,False
Lufthansa,LH1801 / LH1652,Adolfo Suárez Madrid-Barajas Airport,Spain,2026-05-10 11:50:00,1,2026-05-10 18:35:00,Bucharest Henri Coandă International Airport,Romania,economy,417,9,4h 30m,MAD,OTP,2026-05-01 22:36:51+03:00,morning,evening,sunday,sunday,270,MAD -> OTP,Spain -> Romania,False
Lufthansa,LH1805 / LH1654,Adolfo Suárez Madrid-Barajas Airport,Spain,2026-05-10 18:25:00,1,2026-05-11 01:10:00,Bucharest Henri Coandă International Airport,Romania,economy,417,9,4h 35m,MAD,OTP,2026-05-01 22:36:51+03:00,evening,night,sunday,monday,275,MAD -> OTP,Spain -> Romania,False
KLM,KL1500 / KL1373,Adolfo Suárez Madrid-Barajas Airport,Spain,2026-05-10 06:00:00,1,2026-05-10 13:00:00,Bucharest Henri Coandă International Airport,Romania,economy,440,9,5h 00m,MAD,OTP,2026-05-01 22:36:51+03:00,morning,afternoon,sunday,sunday,300,MAD -> OTP,Spain -> Romania,False
Air France,AF1601 / AF1088,Adolfo Suárez Madrid-Barajas Airport,Spain,2026-05-10 16:40:00,1,2026-05-10 23:25:00,Bucharest Henri Coandă International Airport,Romania,economy,569,9,4h 55m,MAD,OTP,2026-05-01 22:36:51+03:00,afternoon,night,sunday,sunday,295,MAD -> OTP,Spain -> Romania,False
Aegean,A3963 / A3650,Bucharest Henri Coandă International Airport,Romania,2026-06-22 20:35:00,1,2026-06-23 08:35:00,Leonardo da Vinci International Airport,Italy,economy,202,52,3h 35m,OTP,FCO,2026-05-01 22:36:52+03:00,evening,morning,monday,tuesday,215,OTP -> FCO,Romania -> Italy,False
Turkish Airlines,TK1040 / TK1361,Bucharest Henri Coandă International Airport,Romania,2026-06-22 15:55:00,1,2026-06-22 23:35:00,Leonardo da Vinci International Airport,Italy,economy,212,52,4h 15m,OTP,FCO,2026-05-01 22:36:52+03:00,afternoon,night,monday,monday,255,OTP -> FCO,Romania -> Italy,False
Austrian,OS696 / OS557,Bucharest Henri Coandă International Airport,Romania,2026-06-22 15:55:00,1,2026-06-22 20:40:00,Leonardo da Vinci International Airport,Italy,economy,242,52,3h 15m,OTP,FCO,2026-05-01 22:36:52+03:00,afternoon,evening,monday,monday,195,OTP -> FCO,Romania -> Italy,False
Lufthansa,LH1655 / LH1866,Bucharest Henri Coandă International Airport,Romania,2026-06-22 06:15:00,1,2026-06-22 10:00:00,Leonardo da Vinci International Airport,Italy,economy,358,52,3h 45m,OTP,FCO,2026-05-01 22:36:52+03:00,morning,morning,monday,monday,225,OTP -> FCO,Romania -> Italy,False
Air Serbia,JU103 / JU170,Bucharest Henri Coandă International Airport,Romania,2026-06-07 16:05:00,1,2026-06-08 08:40:00,Václav Havel Airport Prague,Czech Republic,economy,130,37,3h 25m,OTP,PRG,2026-05-01 22:37:17+03:00,afternoon,morning,sunday,monday,205,OTP -> PRG,Romania -> Czech Republic,False
Turkish Airlines,TK1046 / TK1767,Bucharest Henri Coandă International Airport,Romania,2026-06-07 21:35:00,1,2026-06-08 08:20:00,Václav Havel Airport Prague,Czech Republic,economy,193,37,4h 05m,OTP,PRG,2026-05-01 22:37:17+03:00,night,morning,sunday,monday,245,OTP -> PRG,Romania -> Czech Republic,False
LOT,LO640 / LO527,Bucharest Henri Coandă International Airport,Romania,2026-06-07 08:20:00,1,2026-06-07 12:05:00,Václav Havel Airport Prague,Czech Republic,economy,240,37,3h 05m,OTP,PRG,2026-05-01 22:37:17+03:00,morning,afternoon,sunday,sunday,185,OTP -> PRG,Romania -> Czech Republic,False
Austrian,OS694 / OS645,Bucharest Henri Coandă International Airport,Romania,2026-06-07 13:15:00,1,2026-06-07 16:10:00,Václav Havel Airport Prague,Czech Republic,economy,293,37,2h 30m,OTP,PRG,2026-05-01 22:37:17+03:00,afternoon,afternoon,sunday,sunday,150,OTP -> PRG,Romania -> Czech Republic,False
Austrian,OS780 / OS695,Sofia International Airport,Bulgaria,2026-06-25 08:00:00,1,2026-06-25 15:10:00,Bucharest Henri Coandă International Airport,Romania,economy,157,55,3h 10m,SOF,OTP,2026-05-01 22:37:45+03:00,morning,afternoon,thursday,thursday,190,SOF -> OTP,Bulgaria -> Romania,False
Austrian,OS772 / OS697,Sofia International Airport,Bulgaria,2026-06-25 12:25:00,1,2026-06-25 18:05:00,Bucharest Henri Coandă International Airport,Romania,economy,199,55,3h 10m,SOF,OTP,2026-05-01 22:37:45+03:00,afternoon,evening,thursday,thursday,190,SOF -> OTP,Bulgaria -> Romania,False
Turkish Airlines,TK1028 / TK1039,Sofia International Airport,Bulgaria,2026-06-25 09:35:00,1,2026-06-25 14:35:00,Bucharest Henri Coandă International Airport,Romania,economy,225,55,2h 45m,SOF,OTP,2026-05-01 22:37:45+03:00,morning,afternoon,thursday,thursday,165,SOF -> OTP,Bulgaria -> Romania,False
Aegean,A3981 / A3962,Sofia International Airport,Bulgaria,2026-06-25 10:55:00,1,2026-06-25 19:45:00,Bucharest Henri Coandă International Airport,Romania,economy,283,55,2h 50m,SOF,OTP,2026-05-01 22:37:45+03:00,morning,evening,thursday,thursday,170,SOF -> OTP,Bulgaria -> Romania,False
Air Serbia,JU107 / JU536,Bucharest Henri Coandă International Airport,Romania,2026-05-14 04:30:00,1,2026-05-15 03:20:00,"Athens International Airport ""Eleftherios Venizelos""",Greece,economy,135,13,3h 05m,OTP,ATH,2026-05-01 22:37:59+03:00,night,night,thursday,friday,185,OTP -> ATH,Romania -> Greece,False
Turkish Airlines,TK1046 / TK1841,Bucharest Henri Coandă International Airport,Romania,2026-05-14 21:35:00,1,2026-05-15 03:05:00,"Athens International Airport ""Eleftherios Venizelos""",Greece,economy,340,13,2h 55m,OTP,ATH,2026-05-01 22:37:59+03:00,night,night,thursday,friday,175,OTP -> ATH,Romania -> Greece,False
Turkish Airlines,TK1040 / TK1841,Bucharest Henri Coandă International Airport,Romania,2026-05-27 15:55:00,1,2026-05-28 03:05:00,"Athens International Airport ""Eleftherios Venizelos""",Greece,economy,122,26,2h 55m,OTP,ATH,2026-05-01 22:38:29+03:00,afternoon,night,wednesday,thursday,175,OTP -> ATH,Romania -> Greece,False
Air Serbia,JU103 / JU530,Bucharest Henri Coandă International Airport,Romania,2026-05-27 16:05:00,1,2026-05-28 09:30:00,"Athens International Airport ""Eleftherios Venizelos""",Greece,economy,135,26,3h 05m,OTP,ATH,2026-05-01 22:38:29+03:00,afternoon,morning,wednesday,thursday,185,OTP -> ATH,Romania -> Greece,False
SWISS,LX1887 / LX1830,Bucharest Henri Coandă International Airport,Romania,2026-05-27 06:20:00,1,2026-05-27 13:10:00,"Athens International Airport ""Eleftherios Venizelos""",Greece,economy,232,26,5h 20m,OTP,ATH,2026-05-01 22:38:29+03:00,morning,afternoon,wednesday,wednesday,320,OTP -> ATH,Romania -> Greece,False
Turkish Airlines,TK1046 / TK1841,Bucharest Henri Coandă International Airport,Romania,2026-05-27 21:30:00,1,2026-05-28 03:05:00,"Athens International Airport ""Eleftherios Venizelos""",Greece,economy,294,26,2h 55m,OTP,ATH,2026-05-01 22:38:29+03:00,night,night,wednesday,thursday,175,OTP -> ATH,Romania -> Greece,False
Turkish Airlines,TK1044 / TK1849,Bucharest Henri Coandă International Airport,Romania,2026-05-27 09:30:00,1,2026-05-27 14:50:00,"Athens International Airport ""Eleftherios Venizelos""",Greece,economy,430,26,3h 05m,OTP,ATH,2026-05-01 22:38:29+03:00,morning,afternoon,wednesday,wednesday,185,OTP -> ATH,Romania -> Greece,False
LOT,LO646 / LO635,Bucharest Henri Coandă International Airport,Romania,2026-05-10 18:30:00,1,2026-05-11 01:55:00,Sofia International Airport,Bulgaria,economy,219,9,3h 50m,OTP,SOF,2026-05-01 22:39:25+03:00,evening,night,sunday,monday,230,OTP -> SOF,Romania -> Bulgaria,False
Turkish Airlines,TK1040 / TK1031,Bucharest Henri Coandă International Airport,Romania,2026-05-10 15:55:00,1,2026-05-11 15:00:00,Sofia International Airport,Bulgaria,economy,259,9,2h 45m,OTP,SOF,2026-05-01 22:39:25+03:00,afternoon,afternoon,sunday,monday,165,OTP -> SOF,Romania -> Bulgaria,False
Turkish Airlines,TK1044 / TK1031,Bucharest Henri Coandă International Airport,Romania,2026-05-10 09:40:00,1,2026-05-10 15:00:00,Sofia International Airport,Bulgaria,economy,308,9,2h 50m,OTP,SOF,2026-05-01 22:39:25+03:00,morning,afternoon,sunday,sunday,170,OTP -> SOF,Romania -> Bulgaria,False
Air Serbia,JU103 / JU116,Bucharest Henri Coandă International Airport,Romania,2026-05-10 16:05:00,1,2026-05-11 03:00:00,Sofia International Airport,Bulgaria,economy,370,9,2h 45m,OTP,SOF,2026-05-01 22:39:25+03:00,afternoon,night,sunday,monday,165,OTP -> SOF,Romania -> Bulgaria,False
Aegean,A3961 / A3982,Bucharest Henri Coandă International Airport,Romania,2026-05-10 09:55:00,1,2026-05-10 20:30:00,Sofia International Airport,Bulgaria,economy,442,9,2h 50m,OTP,SOF,2026-05-01 22:39:25+03:00,morning,evening,sunday,sunday,170,OTP -> SOF,Romania -> Bulgaria,False
Austrian,OS700 / OS771,Bucharest Henri Coandă International Airport,Romania,2026-05-10 06:35:00,1,2026-05-10 11:40:00,Sofia International Airport,Bulgaria,economy,442,9,3h 10m,OTP,SOF,2026-05-01 22:39:25+03:00,morning,morning,sunday,sunday,190,OTP -> SOF,Romania -> Bulgaria,False
Austrian,OS694 / OS775,Bucharest Henri Coandă International Airport,Romania,2026-05-10 13:15:00,1,2026-05-10 18:10:00,Sofia International Airport,Bulgaria,economy,536,9,3h 10m,OTP,SOF,2026-05-01 22:39:25+03:00,afternoon,evening,sunday,sunday,190,OTP -> SOF,Romania -> Bulgaria,False
Lufthansa,LH1655 / LH1702,Bucharest Henri Coandă International Airport,Romania,2026-05-10 06:15:00,1,2026-05-10 12:10:00,Sofia International Airport,Bulgaria,economy,694,9,4h 05m,OTP,SOF,2026-05-01 22:39:25+03:00,morning,afternoon,sunday,sunday,245,OTP -> SOF,Romania -> Bulgaria,False
Austrian,OS694 / OS403,Bucharest Henri Coandă International Airport,Romania,2026-05-22 13:15:00,1,2026-05-22 17:20:00,Josep Tarradellas Barcelona-El Prat Airport,Spain,economy,434,21,4h 00m,OTP,BCN,2026-05-01 22:41:45+03:00,afternoon,evening,friday,friday,240,OTP -> BCN,Romania -> Spain,False
KLM,KL1374 / KL1519,Bucharest Henri Coandă International Airport,Romania,2026-05-22 14:00:00,1,2026-05-22 18:50:00,Josep Tarradellas Barcelona-El Prat Airport,Spain,economy,436,21,5h 00m,OTP,BCN,2026-05-01 22:41:45+03:00,afternoon,evening,friday,friday,300,OTP -> BCN,Romania -> Spain,False
Austrian,OS696 / OS405,Bucharest Henri Coandă International Airport,Romania,2026-05-22 15:55:00,1,2026-05-22 19:50:00,Josep Tarradellas Barcelona-El Prat Airport,Spain,economy,507,21,4h 00m,OTP,BCN,2026-05-01 22:41:45+03:00,afternoon,evening,friday,friday,240,OTP -> BCN,Romania -> Spain,False
LOT,LO642 / LO431,Bucharest Henri Coandă International Airport,Romania,2026-06-20 14:35:00,1,2026-06-20 23:35:00,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,195,50,5h 45m,OTP,MAD,2026-05-01 22:42:27+03:00,afternoon,night,saturday,saturday,345,OTP -> MAD,Romania -> Spain,False
Turkish Airlines,TK1044 / TK1859,Bucharest Henri Coandă International Airport,Romania,2026-06-20 09:30:00,1,2026-06-20 16:55:00,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,208,50,6h 05m,OTP,MAD,2026-05-01 22:42:27+03:00,morning,afternoon,saturday,saturday,365,OTP -> MAD,Romania -> Spain,False
Turkish Airlines,TK1040 / TK1359,Bucharest Henri Coandă International Airport,Romania,2026-06-20 15:55:00,1,2026-06-20 22:35:00,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,208,50,6h 10m,OTP,MAD,2026-05-01 22:42:27+03:00,afternoon,night,saturday,saturday,370,OTP -> MAD,Romania -> Spain,False
KLM,KL1374 / KL1507,Bucharest Henri Coandă International Airport,Romania,2026-06-20 14:00:00,1,2026-06-20 19:35:00,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,238,50,5h 30m,OTP,MAD,2026-05-01 22:42:27+03:00,afternoon,evening,saturday,saturday,330,OTP -> MAD,Romania -> Spain,False
TAROM,RO415,Bucharest Henri Coandă International Airport,Romania,2026-06-20 08:20:00,0,2026-06-20 11:25:00,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,480,50,4h 05m,OTP,MAD,2026-05-01 22:42:27+03:00,morning,morning,saturday,saturday,245,OTP -> MAD,Romania -> Spain,True
Aegean,A3963 / A3980,Bucharest Henri Coandă International Airport,Romania,2026-05-14 20:35:00,1,2026-05-15 10:05:00,Sofia International Airport,Bulgaria,economy,193,13,2h 50m,OTP,SOF,2026-05-01 22:42:33+03:00,evening,morning,thursday,friday,170,OTP -> SOF,Romania -> Bulgaria,False
Air Serbia,JU107 / JU112,Bucharest Henri Coandă International Airport,Romania,2026-05-14 04:30:00,1,2026-05-14 15:30:00,Sofia International Airport,Bulgaria,economy,203,13,2h 45m,OTP,SOF,2026-05-01 22:42:33+03:00,night,afternoon,thursday,thursday,165,OTP -> SOF,Romania -> Bulgaria,False
LOT,LO640 / LO633,Bucharest Henri Coandă International Airport,Romania,2026-05-14 08:20:00,1,2026-05-14 18:00:00,Sofia International Airport,Bulgaria,economy,219,13,3h 55m,OTP,SOF,2026-05-01 22:42:33+03:00,morning,evening,thursday,thursday,235,OTP -> SOF,Romania -> Bulgaria,False
Austrian,OS700 / OS771,Bucharest Henri Coandă International Airport,Romania,2026-05-14 06:35:00,1,2026-05-14 11:40:00,Sofia International Airport,Bulgaria,economy,252,13,3h 10m,OTP,SOF,2026-05-01 22:42:33+03:00,morning,morning,thursday,thursday,190,OTP -> SOF,Romania -> Bulgaria,False
Austrian,OS698 / OS779,Bucharest Henri Coandă International Airport,Romania,2026-05-14 18:55:00,1,2026-05-14 23:55:00,Sofia International Airport,Bulgaria,economy,300,13,3h 10m,OTP,SOF,2026-05-01 22:42:33+03:00,evening,night,thursday,thursday,190,OTP -> SOF,Romania -> Bulgaria,False
Air Serbia,JU353 / JU106,Frankfurt Airport,Germany,2026-06-05 20:20:00,1,2026-06-06 03:05:00,Bucharest Henri Coandă International Airport,Romania,economy,135,35,3h 25m,FRA,OTP,2026-05-01 22:43:00+03:00,evening,night,friday,saturday,205,FRA -> OTP,Germany -> Romania,False
AJet,VF524 / VF595,Frankfurt Airport,Germany,2026-06-05 17:45:00,1,2026-06-06 19:05:00,Bucharest Henri Coandă International Airport,Romania,economy,175,35,4h 50m,FRA,OTP,2026-05-01 22:43:00+03:00,evening,evening,friday,saturday,290,FRA -> OTP,Germany -> Romania,False
LOT,LO380 / LO645,Frankfurt Airport,Germany,2026-06-05 20:00:00,1,2026-06-06 17:45:00,Bucharest Henri Coandă International Airport,Romania,economy,184,35,3h 40m,FRA,OTP,2026-05-01 22:43:00+03:00,evening,evening,friday,saturday,220,FRA -> OTP,Germany -> Romania,False
LOT,LO382 / LO645,Frankfurt Airport,Germany,2026-06-05 10:35:00,1,2026-06-05 17:45:00,Bucharest Henri Coandă International Airport,Romania,economy,195,35,3h 45m,FRA,OTP,2026-05-01 22:43:00+03:00,morning,evening,friday,friday,225,FRA -> OTP,Germany -> Romania,False
LOT,LO380 / LO643,Frankfurt Airport,Germany,2026-06-05 20:00:00,1,2026-06-06 01:50:00,Bucharest Henri Coandă International Airport,Romania,economy,195,35,3h 35m,FRA,OTP,2026-05-01 22:43:00+03:00,evening,night,friday,saturday,215,FRA -> OTP,Germany -> Romania,False
Austrian,OS210 / OS697,Frankfurt Airport,Germany,2026-06-05 13:40:00,1,2026-06-05 18:05:00,Bucharest Henri Coandă International Airport,Romania,economy,270,35,3h 00m,FRA,OTP,2026-05-01 22:43:00+03:00,afternoon,evening,friday,friday,180,FRA -> OTP,Germany -> Romania,False
Lufthansa,LH1418,Frankfurt Airport,Germany,2026-06-05 09:40:00,0,2026-06-05 13:00:00,Bucharest Henri Coandă International Airport,Romania,economy,328,35,2h 20m,FRA,OTP,2026-05-01 22:43:00+03:00,morning,afternoon,friday,friday,140,FRA -> OTP,Germany -> Romania,True
Lufthansa,LH1416,Frankfurt Airport,Germany,2026-06-05 13:10:00,0,2026-06-05 16:30:00,Bucharest Henri Coandă International Airport,Romania,economy,448,35,2h 20m,FRA,OTP,2026-05-01 22:43:00+03:00,afternoon,afternoon,friday,friday,140,FRA -> OTP,Germany -> Romania,True
KLM,KL1374 / KL1825,Bucharest Henri Coandă International Airport,Romania,2026-06-28 14:00:00,1,2026-06-28 22:00:00,Frankfurt Airport,Germany,economy,122,58,4h 00m,OTP,FRA,2026-05-01 22:43:01+03:00,afternoon,night,sunday,sunday,240,OTP -> FRA,Romania -> Germany,False
LOT,LO644 / LO381,Bucharest Henri Coandă International Airport,Romania,2026-06-28 05:35:00,1,2026-06-28 09:40:00,Frankfurt Airport,Germany,economy,157,58,3h 45m,OTP,FRA,2026-05-01 22:43:01+03:00,morning,morning,sunday,sunday,225,OTP -> FRA,Romania -> Germany,False
LOT,LO642 / LO379,Bucharest Henri Coandă International Airport,Romania,2026-06-28 14:35:00,1,2026-06-28 19:00:00,Frankfurt Airport,Germany,economy,189,58,3h 50m,OTP,FRA,2026-05-01 22:43:01+03:00,afternoon,evening,sunday,sunday,230,OTP -> FRA,Romania -> Germany,False
KLM,KL1374 / KL1821,Bucharest Henri Coandă International Airport,Romania,2026-06-28 14:00:00,1,2026-06-28 18:00:00,Frankfurt Airport,Germany,economy,194,58,4h 00m,OTP,FRA,2026-05-01 22:43:01+03:00,afternoon,evening,sunday,sunday,240,OTP -> FRA,Romania -> Germany,False
Lufthansa,LH1423,Bucharest Henri Coandă International Airport,Romania,2026-06-28 06:05:00,0,2026-06-28 07:40:00,Frankfurt Airport,Germany,economy,228,58,2h 35m,OTP,FRA,2026-05-01 22:43:01+03:00,morning,morning,sunday,sunday,155,OTP -> FRA,Romania -> Germany,True
Lufthansa,LH1419,Bucharest Henri Coandă International Airport,Romania,2026-06-28 14:05:00,0,2026-06-28 15:40:00,Frankfurt Airport,Germany,economy,241,58,2h 35m,OTP,FRA,2026-05-01 22:43:01+03:00,afternoon,afternoon,sunday,sunday,155,OTP -> FRA,Romania -> Germany,True
Austrian,OS696 / OS215,Bucharest Henri Coandă International Airport,Romania,2026-06-28 15:55:00,1,2026-06-28 18:40:00,Frankfurt Airport,Germany,economy,288,58,3h 10m,OTP,FRA,2026-05-01 22:43:01+03:00,afternoon,evening,sunday,sunday,190,OTP -> FRA,Romania -> Germany,False
Lufthansa,LH1417,Bucharest Henri Coandă International Airport,Romania,2026-06-28 17:35:00,0,2026-06-28 19:10:00,Frankfurt Airport,Germany,economy,299,58,2h 35m,OTP,FRA,2026-05-01 22:43:01+03:00,evening,evening,sunday,sunday,155,OTP -> FRA,Romania -> Germany,True
Norwegian,DY1561 / D85523,Bucharest Henri Coandă International Airport,Romania,2026-05-29 16:50:00,1,2026-05-29 22:55:00,Josep Tarradellas Barcelona-El Prat Airport,Spain,economy,230,28,6h 25m,OTP,BCN,2026-05-01 22:43:49+03:00,afternoon,night,friday,friday,385,OTP -> BCN,Romania -> Spain,False
Lufthansa,LH1419 / LH1136,Bucharest Henri Coandă International Airport,Romania,2026-05-29 13:45:00,1,2026-05-29 19:45:00,Josep Tarradellas Barcelona-El Prat Airport,Spain,economy,258,28,4h 40m,OTP,BCN,2026-05-01 22:43:49+03:00,afternoon,evening,friday,friday,280,OTP -> BCN,Romania -> Spain,False
Lufthansa,LH1417 / LH1138,Bucharest Henri Coandă International Airport,Romania,2026-05-29 17:35:00,1,2026-05-29 23:05:00,Josep Tarradellas Barcelona-El Prat Airport,Spain,economy,258,28,4h 40m,OTP,BCN,2026-05-01 22:43:49+03:00,evening,night,friday,friday,280,OTP -> BCN,Romania -> Spain,False
Austrian,OS694 / OS403,Bucharest Henri Coandă International Airport,Romania,2026-05-29 13:15:00,1,2026-05-29 17:20:00,Josep Tarradellas Barcelona-El Prat Airport,Spain,economy,357,28,4h 00m,OTP,BCN,2026-05-01 22:43:49+03:00,afternoon,evening,friday,friday,240,OTP -> BCN,Romania -> Spain,False
KLM,KL1374 / KL1519,Bucharest Henri Coandă International Airport,Romania,2026-05-29 14:00:00,1,2026-05-29 18:50:00,Josep Tarradellas Barcelona-El Prat Airport,Spain,economy,369,28,5h 00m,OTP,BCN,2026-05-01 22:43:49+03:00,afternoon,evening,friday,friday,300,OTP -> BCN,Romania -> Spain,False
SWISS,LX1737 / LX1886,Leonardo da Vinci International Airport,Italy,2026-05-20 15:05:00,1,2026-05-21 01:10:00,Bucharest Henri Coandă International Airport,Romania,economy,246,19,4h 00m,FCO,OTP,2026-05-01 22:44:05+03:00,afternoon,night,wednesday,thursday,240,FCO -> OTP,Italy -> Romania,False
Air France,AF1505 / AF1088,Leonardo da Vinci International Airport,Italy,2026-05-20 15:30:00,1,2026-05-20 23:25:00,Bucharest Henri Coandă International Airport,Romania,economy,262,19,5h 00m,FCO,OTP,2026-05-01 22:44:05+03:00,afternoon,night,wednesday,wednesday,300,FCO -> OTP,Italy -> Romania,False
Eurowings,EW9441 / EW9792,Josep Tarradellas Barcelona-El Prat Airport,Spain,2026-06-01 09:25:00,1,2026-06-01 19:50:00,Bucharest Henri Coandă International Airport,Romania,economy,176,31,4h 50m,BCN,OTP,2026-05-01 22:44:27+03:00,morning,evening,monday,monday,290,BCN -> OTP,Spain -> Romania,False
Lufthansa,LH1817 / LH1654,Josep Tarradellas Barcelona-El Prat Airport,Spain,2026-06-01 18:40:00,1,2026-06-02 01:10:00,Bucharest Henri Coandă International Airport,Romania,economy,282,31,4h 05m,BCN,OTP,2026-05-01 22:44:27+03:00,evening,night,monday,tuesday,245,BCN -> OTP,Spain -> Romania,False
SWISS,LX1959 / LX1886,Josep Tarradellas Barcelona-El Prat Airport,Spain,2026-06-01 18:35:00,1,2026-06-02 01:10:00,Bucharest Henri Coandă International Airport,Romania,economy,291,31,4h 10m,BCN,OTP,2026-05-01 22:44:27+03:00,evening,night,monday,tuesday,250,BCN -> OTP,Spain -> Romania,False
Aegean,A3711 / A3962,Josep Tarradellas Barcelona-El Prat Airport,Spain,2026-06-01 12:15:00,1,2026-06-01 19:45:00,Bucharest Henri Coandă International Airport,Romania,economy,417,31,4h 25m,BCN,OTP,2026-05-01 22:44:27+03:00,afternoon,evening,monday,monday,265,BCN -> OTP,Spain -> Romania,False
Air Serbia,JU103 / JU580,Bucharest Henri Coandă International Airport,Romania,2026-05-31 16:05:00,1,2026-06-01 09:10:00,Josep Tarradellas Barcelona-El Prat Airport,Spain,economy,169,30,4h 10m,OTP,BCN,2026-05-01 22:45:43+03:00,afternoon,morning,sunday,monday,250,OTP -> BCN,Romania -> Spain,False
KLM,KL1374 / KL1521,Bucharest Henri Coandă International Airport,Romania,2026-05-31 14:00:00,1,2026-05-31 22:45:00,Josep Tarradellas Barcelona-El Prat Airport,Spain,economy,214,30,5h 05m,OTP,BCN,2026-05-01 22:45:43+03:00,afternoon,night,sunday,sunday,305,OTP -> BCN,Romania -> Spain,False
Eurowings,EW9793 / EW9444,Bucharest Henri Coandă International Airport,Romania,2026-05-31 11:10:00,1,2026-05-31 18:30:00,Josep Tarradellas Barcelona-El Prat Airport,Spain,economy,217,30,4h 50m,OTP,BCN,2026-05-01 22:45:43+03:00,morning,evening,sunday,sunday,290,OTP -> BCN,Romania -> Spain,False
Norwegian,DY1561 / DY1742,Bucharest Henri Coandă International Airport,Romania,2026-05-31 12:20:00,1,2026-05-31 19:45:00,Josep Tarradellas Barcelona-El Prat Airport,Spain,economy,289,30,6h 25m,OTP,BCN,2026-05-01 22:45:43+03:00,afternoon,evening,sunday,sunday,385,OTP -> BCN,Romania -> Spain,False
Austrian,OS694 / OS403,Bucharest Henri Coandă International Airport,Romania,2026-05-31 13:15:00,1,2026-05-31 17:20:00,Josep Tarradellas Barcelona-El Prat Airport,Spain,economy,476,30,3h 55m,OTP,BCN,2026-05-01 22:45:43+03:00,afternoon,evening,sunday,sunday,235,OTP -> BCN,Romania -> Spain,False
Air France,AF1505 / AF1088,Leonardo da Vinci International Airport,Italy,2026-05-28 15:30:00,1,2026-05-28 23:25:00,Bucharest Henri Coandă International Airport,Romania,economy,230,27,5h 00m,FCO,OTP,2026-05-01 22:45:50+03:00,afternoon,night,thursday,thursday,300,FCO -> OTP,Italy -> Romania,False
LOT,LO304 / LO643,Leonardo da Vinci International Airport,Italy,2026-05-28 19:05:00,1,2026-05-29 01:50:00,Bucharest Henri Coandă International Airport,Romania,economy,232,27,4h 15m,FCO,OTP,2026-05-01 22:45:50+03:00,evening,night,thursday,friday,255,FCO -> OTP,Italy -> Romania,False
Austrian,OS552 / OS695,Leonardo da Vinci International Airport,Italy,2026-05-28 08:55:00,1,2026-05-28 15:10:00,Bucharest Henri Coandă International Airport,Romania,economy,240,27,3h 10m,FCO,OTP,2026-05-01 22:45:50+03:00,morning,afternoon,thursday,thursday,190,FCO -> OTP,Italy -> Romania,False
Air Serbia,JU103 / JU116,Bucharest Henri Coandă International Airport,Romania,2026-05-27 16:05:00,1,2026-05-28 03:00:00,Sofia International Airport,Bulgaria,economy,146,26,2h 45m,OTP,SOF,2026-05-01 22:46:34+03:00,afternoon,night,wednesday,thursday,165,OTP -> SOF,Romania -> Bulgaria,False
LOT,LO646 / LO635,Bucharest Henri Coandă International Airport,Romania,2026-05-27 18:30:00,1,2026-05-28 01:55:00,Sofia International Airport,Bulgaria,economy,166,26,3h 50m,OTP,SOF,2026-05-01 22:46:34+03:00,evening,night,wednesday,thursday,230,OTP -> SOF,Romania -> Bulgaria,False
Turkish Airlines,TK1044 / TK1031,Bucharest Henri Coandă International Airport,Romania,2026-05-27 09:30:00,1,2026-05-27 15:00:00,Sofia International Airport,Bulgaria,economy,246,26,2h 50m,OTP,SOF,2026-05-01 22:46:34+03:00,morning,afternoon,wednesday,wednesday,170,OTP -> SOF,Romania -> Bulgaria,False
