airline,flight,source_city,source_country,departure_time,stops,arrival_time,destination_city,destination_country,class,price,days_left,duration,source_airport,destination_airport,scraped_at,departure_daypart,arrival_daypart,departure_day_of_week,arrival_day_of_week,duration_minutes,route,country_pair,is_nonstop
Lufthansa,LH2543 / LH1654,Oradea International Airport,Romania,2026-06-30 14:15:00,1,2026-07-01 01:10:00,Bucharest Henri Coandă International Airport,Romania,economy,128,60,3h 35m,OMR,OTP,2026-05-02 01:12:27+03:00,afternoon,night,tuesday,wednesday,215,OMR -> OTP,Romania -> Romania,False
Norwegian,DY1719 / DY1560,Adolfo Suárez Madrid-Barajas Airport,Spain,2026-05-02 20:30:00,1,2026-05-03 11:40:00,Bucharest Henri Coandă International Airport,Romania,economy,241,1,6h 25m,MAD,OTP,2026-05-02 01:12:42+03:00,evening,morning,saturday,sunday,385,MAD -> OTP,Spain -> Romania,False
Lufthansa,LH1805 / LH1654,Adolfo Suárez Madrid-Barajas Airport,Spain,2026-05-02 18:25:00,1,2026-05-03 01:10:00,Bucharest Henri Coandă International Airport,Romania,economy,347,1,4h 35m,MAD,OTP,2026-05-02 01:12:42+03:00,evening,night,saturday,sunday,275,MAD -> OTP,Spain -> Romania,False
KLM,KL1374 / KL1609,Bucharest Henri Coandă International Airport,Romania,2026-06-08 14:00:00,1,2026-06-08 22:45:00,Leonardo da Vinci International Airport,Italy,economy,137,38,5h 05m,OTP,FCO,2026-05-02 01:12:45+03:00,afternoon,night,monday,monday,305,OTP -> FCO,Romania -> Italy,False
Smartwings,QS1011 / QS1008,Bucharest Henri Coandă International Airport,Romania,2026-06-08 15:45:00,1,2026-06-09 13:15:00,Leonardo da Vinci International Airport,Italy,economy,200,38,3h 55m,OTP,FCO,2026-05-02 01:12:45+03:00,afternoon,afternoon,monday,tuesday,235,OTP -> FCO,Romania -> Italy,False
Austrian,OS696 / OS557,Bucharest Henri Coandă International Airport,Romania,2026-06-08 15:55:00,1,2026-06-08 20:40:00,Leonardo da Vinci International Airport,Italy,economy,213,38,3h 15m,OTP,FCO,2026-05-02 01:12:45+03:00,afternoon,evening,monday,monday,195,OTP -> FCO,Romania -> Italy,False
Lufthansa,LH1655 / LH1866,Bucharest Henri Coandă International Airport,Romania,2026-06-08 06:15:00,1,2026-06-08 10:00:00,Leonardo da Vinci International Airport,Italy,economy,245,38,3h 45m,OTP,FCO,2026-05-02 01:12:45+03:00,morning,morning,monday,monday,225,OTP -> FCO,Romania -> Italy,False
Turkish Airlines,TK1044 / TK1865,Bucharest Henri Coandă International Airport,Romania,2026-06-08 09:30:00,1,2026-06-08 14:10:00,Leonardo da Vinci International Airport,Italy,economy,313,38,4h 15m,OTP,FCO,2026-05-02 01:12:45+03:00,morning,afternoon,monday,monday,255,OTP -> FCO,Romania -> Italy,False
Air Serbia,JU113 / JU106,Sofia International Airport,Bulgaria,2026-06-14 16:00:00,1,2026-06-15 03:05:00,Bucharest Henri Coandă International Airport,Romania,economy,144,44,2h 45m,SOF,OTP,2026-05-02 01:12:49+03:00,afternoon,night,sunday,monday,165,SOF -> OTP,Bulgaria -> Romania,False
LOT,LO632 / LO643,Sofia International Airport,Bulgaria,2026-06-14 14:35:00,1,2026-06-15 01:50:00,Bucharest Henri Coandă International Airport,Romania,economy,145,44,3h 45m,SOF,OTP,2026-05-02 01:12:49+03:00,afternoon,night,sunday,monday,225,SOF -> OTP,Bulgaria -> Romania,False
Aegean,A3983 / A3960,Sofia International Airport,Bulgaria,2026-06-14 21:20:00,1,2026-06-15 09:05:00,Bucharest Henri Coandă International Airport,Romania,economy,161,44,2h 45m,SOF,OTP,2026-05-02 01:12:49+03:00,night,morning,sunday,monday,165,SOF -> OTP,Bulgaria -> Romania,False
Austrian,OS780 / OS695,Sofia International Airport,Bulgaria,2026-06-14 08:00:00,1,2026-06-14 15:10:00,Bucharest Henri Coandă International Airport,Romania,economy,205,44,3h 10m,SOF,OTP,2026-05-02 01:12:49+03:00,morning,afternoon,sunday,sunday,190,SOF -> OTP,Bulgaria -> Romania,False
Turkish Airlines,TK1028 / TK1039,Sofia International Airport,Bulgaria,2026-06-14 09:35:00,1,2026-06-14 14:35:00,Bucharest Henri Coandă International Airport,Romania,economy,225,44,2h 45m,SOF,OTP,2026-05-02 01:12:49+03:00,morning,afternoon,sunday,sunday,165,SOF -> OTP,Bulgaria -> Romania,False
Austrian,OS780 / OS693,Sofia International Airport,Bulgaria,2026-06-14 08:00:00,1,2026-06-14 12:25:00,Bucharest Henri Coandă International Airport,Romania,economy,245,44,3h 10m,SOF,OTP,2026-05-02 01:12:49+03:00,morning,afternoon,sunday,sunday,190,SOF -> OTP,Bulgaria -> Romania,False
Austrian,OS558 / OS703,Leonardo da Vinci International Airport,Italy,2026-05-07 21:30:00,1,2026-05-08 15:20:00,Iași Airport,Romania,economy,453,6,3h 05m,FCO,IAS,2026-05-02 01:12:52+03:00,night,afternoon,thursday,friday,185,FCO -> IAS,Italy -> Romania,False
Austrian,OS518 / OS703,Bologna Guglielmo Marconi Airport,Italy,2026-05-06 19:10:00,1,2026-05-07 15:20:00,Iași Airport,Romania,economy,298,5,2h 45m,BLQ,IAS,2026-05-02 01:12:55+03:00,evening,afternoon,wednesday,thursday,165,BLQ -> IAS,Italy -> Romania,False
TAROM,RO618,Maramures International Airport,Romania,2026-06-02 18:35:00,0,2026-06-02 19:55:00,Bucharest Henri Coandă International Airport,Romania,economy,60,32,1h 20m,BAY,OTP,2026-05-02 01:12:56+03:00,evening,evening,tuesday,tuesday,80,BAY -> OTP,Romania -> Romania,True
Aegean,A3963 / A3700,Bucharest Henri Coandă International Airport,Romania,2026-05-17 20:35:00,1,2026-05-18 12:00:00,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,288,16,5h 25m,OTP,MAD,2026-05-02 01:12:57+03:00,evening,afternoon,sunday,monday,325,OTP -> MAD,Romania -> Spain,False
Smartwings,QS1011 / QS1056,Bucharest Henri Coandă International Airport,Romania,2026-05-17 15:45:00,1,2026-05-18 13:05:00,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,306,16,5h 10m,OTP,MAD,2026-05-02 01:12:57+03:00,afternoon,afternoon,sunday,monday,310,OTP -> MAD,Romania -> Spain,False
LOT,LO644 / LO433,Bucharest Henri Coandă International Airport,Romania,2026-05-17 05:35:00,1,2026-05-17 14:35:00,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,348,16,5h 40m,OTP,MAD,2026-05-02 01:12:57+03:00,morning,afternoon,sunday,sunday,340,OTP -> MAD,Romania -> Spain,False
Turkish Airlines,TK1044 / TK1859,Bucharest Henri Coandă International Airport,Romania,2026-05-17 09:30:00,1,2026-05-17 16:55:00,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,581,16,6h 05m,OTP,MAD,2026-05-02 01:12:57+03:00,morning,afternoon,sunday,sunday,365,OTP -> MAD,Romania -> Spain,False
Aegean,A3961 / A3740,Bucharest Henri Coandă International Airport,Romania,2026-05-17 09:55:00,1,2026-05-17 17:30:00,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,648,16,5h 30m,OTP,MAD,2026-05-02 01:12:57+03:00,morning,evening,sunday,sunday,330,OTP -> MAD,Romania -> Spain,False
Lufthansa,LH1655 / LH1800,Bucharest Henri Coandă International Airport,Romania,2026-05-17 06:15:00,1,2026-05-17 11:05:00,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,669,16,4h 55m,OTP,MAD,2026-05-02 01:12:57+03:00,morning,morning,sunday,sunday,295,OTP -> MAD,Romania -> Spain,False
SWISS,LX1887 / LX2022,Bucharest Henri Coandă International Airport,Romania,2026-05-17 06:20:00,1,2026-05-17 11:45:00,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,680,16,5h 00m,OTP,MAD,2026-05-02 01:12:57+03:00,morning,morning,sunday,sunday,300,OTP -> MAD,Romania -> Spain,False
KLM,KL1374 / KL1507,Bucharest Henri Coandă International Airport,Romania,2026-05-17 14:00:00,1,2026-05-17 19:35:00,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,784,16,5h 30m,OTP,MAD,2026-05-02 01:12:57+03:00,afternoon,evening,sunday,sunday,330,OTP -> MAD,Romania -> Spain,False
Lufthansa,LH1651 / LH1804,Bucharest Henri Coandă International Airport,Romania,2026-05-17 12:45:00,1,2026-05-17 17:40:00,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,815,16,4h 55m,OTP,MAD,2026-05-02 01:12:57+03:00,afternoon,evening,sunday,sunday,295,OTP -> MAD,Romania -> Spain,False
Austrian,OS696 / OS703,Bucharest Henri Coandă International Airport,Romania,2026-05-27 15:55:00,1,2026-05-28 15:20:00,Iași Airport,Romania,economy,308,26,3h 10m,OTP,IAS,2026-05-02 01:13:02+03:00,afternoon,afternoon,wednesday,thursday,190,OTP -> IAS,Romania -> Romania,False
